SKU;QUALITY;NAME;COLOR;COMPOSITION;LOT;WIDTH;LENGTH;SIZE;@BARCODE;BARCODE CLIENT;REF
UNI-TAUPE;sha;PRIMERO;TAUPE;100% Polypropylène;21001346;80;150;80x150;3701448238686;5903039449398;UNI-SHA-TAUPE
UNI-TAUPE;sha;PRIMERO;TAUPE;100% Polypropylène;21001346;100;150;100x150;3701448238693;5903039449404;UNI-SHA-TAUPE
UNI-TAUPE;sha;PRIMERO;TAUPE;100% Polypropylène;21001346;120;170;120x170;3701448238709;5903039449411;UNI-SHA-TAUPE
UNI-TAUPE;sha;PRIMERO;TAUPE;100% Polypropylène;21001346;160;230;160x230;3701448238716;5903039449428;UNI-SHA-TAUPE
UNI-TAUPE;sha;PRIMERO;TAUPE;100% Polypropylène;21001346;200;290;200x290;3701448238723;5903039449435;UNI-SHA-TAUPE
UNI-BEIGE;sha;PRIMERO;BEIGE;100% Polypropylène;21001346;60;120;60x120;3701448238730;5903039449442;UNI-SHA-BEIGE
UNI-BEIGE;sha;PRIMERO;BEIGE;100% Polypropylène;21001346;80;150;80x150;3701448238747;5903039449459;UNI-SHA-BEIGE
UNI-BEIGE;sha;PRIMERO;BEIGE;100% Polypropylène;21001346;100;150;100x150;3701448238754;5903039449466;UNI-SHA-BEIGE
UNI-BEIGE;sha;PRIMERO;BEIGE;100% Polypropylène;21001346;120;170;120x170;3701448238761;5903039449473;UNI-SHA-BEIGE
UNI-BEIGE;sha;PRIMERO;BEIGE;100% Polypropylène;21001346;160;230;160x230;3701448238778;5903039449480;UNI-SHA-BEIGE
UNI-BEIGE;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;200;290;200x290;3701448238785;5903039449497;UNI-SHA-BEIGE
UNI-LIGHT GREY;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;60;120;60x120;3701448238792;5903039449503;UNI-SHA-LIGHT GREY
UNI-LIGHT GREY;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;80;150;80x150;3701448238808;5903039449039;UNI-SHA-LIGHT GREY
UNI-LIGHT GREY;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;100;150;100x150;3701448238815;5903039449046;UNI-SHA-LIGHT GREY
UNI-LIGHT GREY;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;120;170;120x170;3701448238822;5903039449053;UNI-SHA-LIGHT GREY
UNI-LIGHT GREY;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;160;230;160x230;3701448238839;5903039449060;UNI-SHA-LIGHT GREY
UNI-LIGHT GREY;sha;PRIMERO;GRIS CLAIR;100% Polypropylène;21001346;200;290;200x290;3701448238846;5903039449077;UNI-SHA-LIGHT GREY
